"Source_ID","Reference","Study_number","Study_name","SS","Diversity_metric","Diversity_metric_unit","Diversity_metric_type","Diversity_metric_is_effort_sensitive","Diversity_metric_is_suitable_for_Chao","Sampling_method","Sampling_effort_unit","Study_common_taxon","Rank_of_study_common_taxon","Site_number","Site_name","Block","SSS","SSB","SSBS","Sample_start_earliest","Sample_end_latest","Sample_midpoint","Sample_date_resolution","Max_linear_extent_metres","Habitat_patch_area_square_metres","Sampling_effort","Rescaled_sampling_effort","Habitat_as_described","Predominant_land_use","Source_for_predominant_land_use","Use_intensity","Km_to_nearest_edge_of_habitat","Years_since_fragmentation_or_conversion","Transect_details","Coordinates_method","Longitude","Latitude","Country_distance_metres","Country","UN_subregion","UN_region","Ecoregion_distance_metres","Ecoregion","Biome","Realm","Hotspot","Wilderness_area","Taxon_number","Taxon_name_entered","Indication","Parsed_name","Taxon","COL_ID","Name_status","Rank","Kingdom","Phylum","Class","Order","Family","Genus","Species","Best_guess_binomial","Higher_taxon","Measurement","Effort_corrected_measurement","bgb","bgg","Country_ISO2C"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",121,"Macropus robustus","Mammalia","Macropus robustus","Macropus robustus",6863101,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","robustus","Macropus robustus","Mammalia",0,0,"macropus robustus","macropus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",122,"Leggadina lakedownensis","Mammalia","Leggadina lakedownensis","Leggadina lakedownensis",6884606,"accepted name","Species","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leggadina","lakedownensis","Leggadina lakedownensis","Mammalia",0,0,"leggadina lakedownensis","leggadina","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",123,"Pseudomys gracilicaudatus","Mammalia","Pseudomys gracilicaudatus","Pseudomys gracilicaudatus",6884834,"accepted name","Species","Animalia","Chordata","Mammalia","Rodentia","Muridae","Pseudomys","gracilicaudatus","Pseudomys gracilicaudatus","Mammalia",0,0,"pseudomys gracilicaudatus","pseudomys","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",124,"Canis lupus dingo","Mammalia","Canis lupus dingo","Canis lupus dingo",7000618,"accepted name","Infraspecies","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","lupus","Canis lupus","Mammalia",0,0,"canis lupus","canis","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",125,"Felis catus","Mammalia","Felis catus","Felis catus",6850592,"accepted name","Species","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","catus","Felis catus","Mammalia",0,0,"felis catus","felis","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",126,"Equus asinus","Mammalia","Equus asinus","Equus asinus",6850455,"accepted name","Species","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","asinus","Equus asinus","Mammalia",0,0,"equus asinus","equus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",127,"Sus scrofa","Mammalia","Sus scrofa","Sus scrofa",6850471,"accepted name","Species","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","Sus scrofa","Mammalia",0,0,"sus scrofa","sus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",10,"AMEL12","AMELIA DOWNS","FE1_2011__Kutt 1 10","FE1_2011__Kutt 1 AMELIA DOWNS","FE1_2011__Kutt 1 AMELIA DOWNS 10",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.441,-19.6867,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",128,"Oryctolagus cuniculus","Mammalia","Oryctolagus cuniculus","Oryctolagus cuniculus",6850120,"accepted name","Species","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Oryctolagus","cuniculus","Oryctolagus cuniculus","Mammalia",0,0,"oryctolagus cuniculus","oryctolagus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",111,"Tachyglossus aculeatus","Mammalia","Tachyglossus aculeatus","Tachyglossus aculeatus",6862886,"accepted name","Species","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Tachyglossus aculeatus","Mammalia",0,0,"tachyglossus aculeatus","tachyglossus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",112,"Planigale maculata","Mammalia","Planigale maculata","Planigale maculata",6862988,"accepted name","Species","Animalia","Chordata","Mammalia","Dasyuromorphia","Dasyuridae","Planigale","maculata","Planigale maculata","Mammalia",0,0,"planigale maculata","planigale","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",113,"Sminthopsis macroura","Mammalia","Sminthopsis macroura","Sminthopsis macroura",6863009,"accepted name","Species","Animalia","Chordata","Mammalia","Dasyuromorphia","Dasyuridae","Sminthopsis","macroura","Sminthopsis macroura","Mammalia",0,0,"sminthopsis macroura","sminthopsis","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",114,"Isoodon macrourus","Mammalia","Isoodon macrourus","Isoodon macrourus",6863018,"accepted name","Species","Animalia","Chordata","Mammalia","Peramelemorphia","Peramelidae","Isoodon","macrourus","Isoodon macrourus","Mammalia",0,0,"isoodon macrourus","isoodon","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",115,"Trichosurus vulpecula","Mammalia","Trichosurus vulpecula","Trichosurus vulpecula",6863057,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","vulpecula","Trichosurus vulpecula","Mammalia",0,0,"trichosurus vulpecula","trichosurus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",116,"Petaurus breviceps","Mammalia","Petaurus breviceps","Petaurus breviceps",6900313,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Petauridae","Petaurus","breviceps","Petaurus breviceps","Mammalia",0,0,"petaurus breviceps","petaurus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",117,"Petauroides volans","Mammalia","Petauroides volans","Petauroides volans",6900297,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Pseudocheiridae","Petauroides","volans","Petauroides volans","Mammalia",0,0,"petauroides volans","petauroides","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",118,"Aepyprymnus rufescens","Mammalia","Aepyprymnus rufescens","Aepyprymnus rufescens",6863059,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Potoroidae","Aepyprymnus","rufescens","Aepyprymnus rufescens","Mammalia",1,1,"aepyprymnus rufescens","aepyprymnus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",119,"Lagorchestes conspicillatus","Mammalia","Lagorchestes conspicillatus","Lagorchestes conspicillatus",6863086,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Lagorchestes","conspicillatus","Lagorchestes conspicillatus","Mammalia",0,0,"lagorchestes conspicillatus","lagorchestes","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",120,"Macropus giganteus","Mammalia","Macropus giganteus","Macropus giganteus",6863096,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","giganteus","Macropus giganteus","Mammalia",0,0,"macropus giganteus","macropus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",121,"Macropus robustus","Mammalia","Macropus robustus","Macropus robustus",6863101,"accepted name","Species","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","robustus","Macropus robustus","Mammalia",0,0,"macropus robustus","macropus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",122,"Leggadina lakedownensis","Mammalia","Leggadina lakedownensis","Leggadina lakedownensis",6884606,"accepted name","Species","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leggadina","lakedownensis","Leggadina lakedownensis","Mammalia",0,0,"leggadina lakedownensis","leggadina","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",123,"Pseudomys gracilicaudatus","Mammalia","Pseudomys gracilicaudatus","Pseudomys gracilicaudatus",6884834,"accepted name","Species","Animalia","Chordata","Mammalia","Rodentia","Muridae","Pseudomys","gracilicaudatus","Pseudomys gracilicaudatus","Mammalia",0,0,"pseudomys gracilicaudatus","pseudomys","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",124,"Canis lupus dingo","Mammalia","Canis lupus dingo","Canis lupus dingo",7000618,"accepted name","Infraspecies","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","lupus","Canis lupus","Mammalia",0,0,"canis lupus","canis","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",125,"Felis catus","Mammalia","Felis catus","Felis catus",6850592,"accepted name","Species","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","catus","Felis catus","Mammalia",0,0,"felis catus","felis","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",126,"Equus asinus","Mammalia","Equus asinus","Equus asinus",6850455,"accepted name","Species","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","asinus","Equus asinus","Mammalia",0,0,"equus asinus","equus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",127,"Sus scrofa","Mammalia","Sus scrofa","Sus scrofa",6850471,"accepted name","Species","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","Sus scrofa","Mammalia",0,0,"sus scrofa","sus","AU"
"FE1_2011__Kutt","Kutt and Fisher 2011",1,"Einasleigh","FE1_2011__Kutt 1","abundance","individuals","Abundance",TRUE,TRUE,"multiple","site","Chordata","Phylum",11,"BLUF01","BLUFF DOWNS","FE1_2011__Kutt 1 11","FE1_2011__Kutt 1 BLUFF DOWNS","FE1_2011__Kutt 1 BLUFF DOWNS 11",2003-01-01,2003-03-31,2003-02-14,"day",NA,NA,1,1,"Eucalyptus crebra +/- Corymbia dallachiana +/- E. leptophleba open woodland on plains and rocky rises of basalt geologies","Pasture","Direct from publication / author","Light use",NA,NA,"","Direct from publication / author",145.449,-19.6986,0,"Australia","Australia and New Zealand","Oceania",0,"Einasleigh Upland Savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia","","",128,"Oryctolagus cuniculus","Mammalia","Oryctolagus cuniculus","Oryctolagus cuniculus",6850120,"accepted name","Species","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Oryctolagus","cuniculus","Oryctolagus cuniculus","Mammalia",0,0,"oryctolagus cuniculus","oryctolagus","AU"
